wavelength(nm),n,k
250,1.694,3.666
260,1.8,4.072
270,2.129,4.69
280,3.052,5.258
290,4.426,5.16
300,5.055,4.128
310,5.074,3.559
320,5.102,3.269
330,5.179,3.085
340,5.293,2.951
350,5.483,2.904
360,6.014,2.912
370,6.863,2.051
380,6.548,0.885
390,5.976,0.465
400,5.587,0.303
410,5.305,0.22
420,5.091,0.167
430,4.925,0.134
440,4.793,0.109
450,4.676,0.091
460,4.577,0.077
470,4.491,0.064
480,4.416,0.057
490,4.348,0.05
500,4.293,0.045
510,4.239,0.039
520,4.192,0.036
530,4.15,0.033
540,4.11,0.03
550,4.077,0.028
560,4.044,0.026
570,4.015,0.024
580,3.986,0.023
590,3.962,0.021
600,3.939,0.02
610,3.916,0.018
620,3.895,0.017
630,3.879,0.016
640,3.861,0.015
650,3.844,0.015
660,3.83,0.014
670,3.815,0.013
680,3.8,0.012
690,3.787,0.011
700,3.774,0.011
710,3.762,0.011
720,3.751,0.01
730,3.741,0.009
740,3.732,0.008
750,3.723,0.008
760,3.714,0.007
770,3.705,0.007
780,3.696,0.006
790,3.688,0.006
800,3.681,0.005
810,3.674,0.005
820,3.668,0.005
830,3.662,0.004
840,3.656,0.004
850,3.65,0.004
860,3.644,0.003
870,3.638,0.003
880,3.632,0.003
890,3.626,0.002
900,3.62,0.002
910,3.614,0.002
920,3.608,0.002
930,3.602,0.002
940,3.597,0.001
950,3.592,0.001
960,3.587,0.001
970,3.582,0.001
980,3.578,0.001
990,3.574,0.001
1000,3.57,0.001
1010,3.566,1.00E-05
1020,3.563,1.00E-05
1030,3.56,1.00E-05
1040,3.557,1.00E-05
1050,3.554,1.00E-05
1060,3.551,1.00E-05
1070,3.548,1.00E-05
1080,3.546,1.00E-05
1090,3.544,1.00E-05
1100,3.541,1.00E-05
1110,3.539,1.00E-05
1120,3.537,1.00E-05
1130,3.534,1.00E-05
1140,3.532,1.00E-05
1150,3.53,1.00E-05
1160,3.528,1.00E-05
1170,3.526,1.00E-05
1180,3.524,1.00E-05
1190,3.522,1.00E-05
1200,3.52,1.00E-05
1210,3.528,1.00E-05
1220,3.516,1.00E-05
1230,3.515,1.00E-05
1240,3.513,1.00E-05
1250,3.511,1.00E-05
1260,3.51,1.00E-05
1270,3.508,1.00E-05
1280,3.507,1.00E-05
1290,3.506,1.00E-05
1300,3.504,1.00E-05
1310,3.503,1.00E-05
1320,3.501,1.00E-05
1330,3.5,1.00E-05
1340,3.498,1.00E-05
1350,3.497,1.00E-05
1360,3.496,1.00E-05
1370,3.495,1.00E-05
1380,3.493,1.00E-05
1390,3.492,1.00E-05
1400,3.491,1.00E-05
1410,3.49,1.00E-05
1420,3.489,1.00E-05
1430,3.488,1.00E-05
1440,3.487,1.00E-05
1450,3.486,1.00E-05