# Refractive index of TiO2 (APCVD 200 degC), use 350nm data to estimate 340nm data
# wl,n,k,alpha
340,2.137,4.48E-02,16090
350,2.137,4.48E-02,16090
360,2.104,1.56E-02,5438
370,2.056,5.33E-03,1810
380,2.022,2.74E-03,904.6
390,1.998,1.72E-03,553.7
400,1.979,1.21E-03,380
410,1.965,9.14E-04,280.2
420,1.953,7.25E-04,217
430,1.943,5.96E-04,174.2
440,1.934,5.03E-04,143.7
450,1.927,4.33E-04,121
460,1.921,3.79E-04,103.6
470,1.916,3.37E-04,90.02
480,1.911,3.02E-04,79.11
490,1.907,2.74E-04,70.2
500,1.903,2.50E-04,62.83
510,1.9,2.30E-04,56.65
520,1.897,2.13E-04,51.41
530,1.894,1.98E-04,46.91
540,1.892,1.85E-04,43.03
550,1.89,1.74E-04,39.65
560,1.888,1.63E-04,36.68
570,1.886,1.55E-04,34.06
580,1.884,1.46E-04,31.73
590,1.882,1.39E-04,29.65
600,1.881,1.33E-04,27.79
610,1.879,1.27E-04,26.11
620,1.878,1.21E-04,24.58
630,1.877,1.16E-04,23.2
640,1.876,1.12E-04,21.94
650,1.875,1.08E-04,20.79
660,1.874,1.04E-04,19.74
670,1.873,1.00E-04,18.77
680,1.872,9.67E-05,17.87
690,1.871,9.36E-05,17.04
700,1.87,9.07E-05,16.27
710,1.87,8.79E-05,15.56
720,1.869,8.54E-05,14.9
730,1.868,8.29E-05,14.28
740,1.868,8.07E-05,13.7
750,1.867,7.85E-05,13.16
760,1.867,7.65E-05,12.65
770,1.866,7.46E-05,12.17
780,1.866,7.28E-05,11.72
790,1.865,7.10E-05,11.3
800,1.865,6.94E-05,10.9
810,1.864,6.78E-05,10.52
820,1.864,6.64E-05,10.17
830,1.863,6.49E-05,9.83
840,1.863,6.36E-05,9.511
850,1.863,6.23E-05,9.208
860,1.862,6.10E-05,8.919
870,1.862,5.99E-05,8.646
880,1.862,5.87E-05,8.385
890,1.861,5.76E-05,8.136
900,1.861,5.66E-05,7.899
910,1.861,5.56E-05,7.673
920,1.86,5.46E-05,7.457
930,1.86,5.37E-05,7.251
940,1.86,5.28E-05,7.053
950,1.86,5.19E-05,6.864
960,1.859,5.11E-05,6.683
970,1.859,5.03E-05,6.509
980,1.859,4.95E-05,6.343
990,1.859,4.87E-05,6.183
1000,1.859,4.80E-05,6.029
1010,1.858,4.73E-05,5.881
1020,1.858,4.66E-05,5.739
1030,1.858,4.59E-05,5.602
1040,1.858,4.53E-05,5.471
1050,1.858,4.47E-05,5.344
1060,1.858,4.40E-05,5.221
1070,1.857,4.35E-05,5.104
1080,1.857,4.29E-05,4.99
1090,1.857,4.23E-05,4.88
1100,1.857,4.18E-05,4.774
1110,1.857,4.13E-05,4.671
1120,1.857,4.08E-05,4.572
1130,1.856,4.03E-05,4.476
1140,1.856,3.98E-05,4.383
1150,1.856,3.93E-05,4.294