wl (nm),n,k
206.6,1.264,2.472
208.4,1.273,2.521
210.1,1.288,2.557
211.9,1.3,2.591
213.8,1.311,2.625
215.6,1.318,2.665
217.5,1.325,2.71
219.4,1.336,2.76
221.4,1.349,2.815
223.4,1.365,2.873
225.4,1.383,2.936
227.5,1.404,3.004
229.6,1.43,3.079
231.7,1.461,3.162
233.9,1.499,3.255
236.2,1.541,3.361
238.4,1.599,3.484
240.7,1.677,3.636
243.1,1.802,3.795
245.5,2.012,3.961
248,2.273,4.084
250.5,2.583,4.101
253,2.89,4.047
255.6,3.139,3.926
258.3,3.342,3.77
261,3.488,3.611
263.8,3.598,3.452
266.6,3.691,3.306
269.5,3.769,3.169
272.5,3.845,3.049
275.5,3.913,2.919
278.6,3.978,2.744
281.8,4.015,2.563
285,3.991,2.401
288.3,3.939,2.26
291.7,3.877,2.152
295.2,3.81,2.069
298.8,3.749,2.01
302.4,3.692,1.969
306.1,3.643,1.939
310,3.601,1.92
313.9,3.566,1.909
317.9,3.538,1.904
322,3.517,1.904
326.3,3.501,1.909
330.6,3.49,1.918
335.1,3.485,1.931
339.7,3.487,1.946
344.4,3.495,1.965
349.3,3.51,1.987
354.2,3.531,2.013
359.4,3.559,2.042
364.7,3.596,2.076
370.1,3.642,2.115
375.7,3.709,2.162
381.5,3.803,2.239
387.5,3.938,2.288
393.6,4.161,2.237
399.9,4.373,2.146
406.5,4.434,2.052
413.3,4.509,1.948
420.3,4.795,1.868
427.5,5.052,1.721
435,5.056,1.36
442.8,4.959,0.991
450.9,4.833,0.8077
459.2,4.694,0.696
467.9,4.586,0.6052
476.9,4.492,0.539
486.2,4.408,0.4846
495.9,4.333,0.441
506.1,4.266,0.4031
516.6,4.205,0.371
527.6,4.15,0.3439
539.1,4.1,0.32
551,4.055,0.2971
563.6,4.013,0.276
576.7,3.975,0.2571
590.4,3.94,0.24
604.8,3.908,0.2253
619.9,3.878,0.211
635.8,3.851,0.1949
652.5,3.826,0.179
670.2,3.805,0.1654
688.8,3.785,0.151
708.5,3.764,0.1311
729.3,3.742,0.112
751.4,3.72,9.98E-02
774.9,3.7,9.10E-02
799.9,3.684,8.91E-02
826.6,3.666,8.00E-02
855.1,3.643,4.03E-02
885.6,3.614,1.69E-03
918.4,3.576,4.05E-03
953.7,3.539,0
991.9,3.513,1.06E-04
1033,3.492,0
1078,3.472,0
1127,3.455,0
1181,3.438,0
1240,3.423,0
1305,3.409,0
1378,3.397,0
1459,3.385,0
1550,3.374,0
1653,3.364,0
1771,3.354,0
1907,3.346,0
2066,3.338,0
2254,3.331,0
2480,3.324,0